"Juge"	"Age"	"Sexe"	"CSP"	"Son"	"Rang"	"Innovation"	"Originalite"	"Sobriete"	"Proximite"	"Ludique"	"Haut.de.Gamme"	"Simplicite"	"Liberte"	"Humanite"	"Technologie"	"Convivialite"	"Complexite"	"Populaire"	"Serieux"	"International"	"Passion"	"Artisanal"	"Traditionnel"	"Performance"	"Joyeux"	"Surprenant"	"Excitant"	"Energique"	"Sensuel"	"Triste"	"Chaleureux"	"Serieux"	"Note"	"Pourquoi"	"Tempo"	"Hauteur"	"Instrument"
"1"	1	25	"H"	"Etudiant"	"V_120_1"	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	"JAR"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	9	"le violon apporte un air chaleureux et énergique"	120	1	"Violon"
"2"	1	25	"H"	"Etudiant"	"P_120_1"	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	7	"piano pas assez haut de gamme, pas assez energique"	120	1	"Piano"
"3"	1	25	"H"	"Etudiant"	"A_160_5"	3	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	"Trop"	"Trop"	"JAR"	"Trop"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"Pas_assez"	4	"trop joyeux, trop energique"	160	5	"Accordéon"
"4"	1	25	"H"	"Etudiant"	"A_120_1"	4	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	"Trop"	"Vraiment_trop"	"Vraiment_pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Vraiment_pas_assez"	2	"pas assez classe"	120	1	"Accordéon"
"5"	1	25	"H"	"Etudiant"	"V_160_1"	5	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	"Trop"	"JAR"	"JAR"	"Trop"	"Trop"	"Pas_assez"	"JAR"	"JAR"	7	"tempo trop rapide, trop énergique"	160	1	"Violon"
"6"	1	25	"H"	"Etudiant"	"A_160_1"	6	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	"JAR"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"JAR"	5	"trop surprenant"	160	1	"Accordéon"
"7"	1	25	"H"	"Etudiant"	"V_80_1"	7	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	"Pas_assez"	"Trop"	"Pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	"JAR"	6	"surprenant par la lenteur du rythme, pas agréable"	80	1	"Violon"
"8"	1	25	"H"	"Etudiant"	"P_120_5"	8	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	"JAR"	"Trop"	"JAR"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	8	"effet écho agréable"	120	5	"Piano"
"9"	1	25	"H"	"Etudiant"	"A_80_5"	9	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	"Pas_assez"	"Trop"	"Pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"Pas_assez"	"JAR"	2	"pas agréable, vraiment trop lent"	80	5	"Accordéon"
"10"	1	25	"H"	"Etudiant"	"P_160_1"	10	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	"Trop"	"Trop"	"Pas_assez"	"Trop"	"Pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	4	"instrument et tempo ne font pas sérieux"	160	1	"Piano"
"11"	1	25	"H"	"Etudiant"	"P_120_3"	11	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	"JAR"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	7	"piano agréable"	120	3	"Piano"
"12"	1	25	"H"	"Etudiant"	"P_80_5"	12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	"Pas_assez"	"Trop"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	"JAR"	3	"tempo vraiment trop lent"	80	5	"Piano"
"13"	2	23	"F"	"Etudiant"	"A_80_3"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Vraiment_pas_assez"	"Trop"	"Pas_assez"	"Vraiment_trop"	2	"instrument ne fait pas assez technologique"	80	3	"Accordéon"
"14"	2	23	"F"	"Etudiant"	"P_120_3"	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"JAR"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"Trop"	7	"écho du piano fait innovant"	120	3	"Piano"
"15"	2	23	"F"	"Etudiant"	"V_80_5"	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"Pas_assez"	"Trop"	"Vraiment_pas_assez"	"JAR"	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Trop"	1	"strident"	80	5	"Violon"
"16"	2	23	"F"	"Etudiant"	"P_80_1"	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	"Trop"	5	"tempo trop lent, pas technologique, pas innovant"	80	1	"Piano"
"17"	2	23	"F"	"Etudiant"	"V_120_5"	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"JAR"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"Trop"	3	"un peu trop strident"	120	5	"Violon"
"18"	2	23	"F"	"Etudiant"	"P_160_5"	6	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"JAR"	"JAR"	"JAR"	"Trop"	"Pas_assez"	"JAR"	"JAR"	"JAR"	8	"tempo légèrement trop rapide"	160	5	"Piano"
"19"	2	23	"F"	"Etudiant"	"A_160_3"	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	"JAR"	"Pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	"JAR"	"Trop"	"Trop"	4	"tempo un peu trop rapide, instrument inapproprié, trop claironnant"	160	3	"Accordéon"
"20"	2	23	"F"	"Etudiant"	"A_160_5"	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	"JAR"	"JAR"	"JAR"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	5	"trop aigu, pas assez sérieux"	160	5	"Accordéon"
"21"	2	23	"F"	"Etudiant"	"P_160_1"	9	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Trop"	"JAR"	"JAR"	"JAR"	"JAR"	6	"tempo légèrement trop rapide, écho un peu pompeux et lourd"	160	1	"Piano"
"22"	2	23	"F"	"Etudiant"	"A_160_1"	10	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	"JAR"	"Trop"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	"Pas_assez"	5	"instrument inapproprié, pas assez classe"	160	1	"Accordéon"
"23"	2	23	"F"	"Etudiant"	"P_120_1"	11	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"JAR"	5	"écho trop important, peu classe"	120	1	"Piano"
"24"	2	23	"F"	"Etudiant"	"P_80_5"	12	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	"JAR"	"Pas_assez"	"JAR"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	4	"trop strident, un peu trop rapide"	80	5	"Piano"
"25"	3	22	"H"	"Etudiant"	"V_120_3"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	"JAR"	"Vraiment_pas_assez"	"JAR"	"JAR"	"JAR"	"Trop"	"Pas_assez"	"JAR"	6	"trop traditionnel"	120	3	"Violon"
"26"	3	22	"H"	"Etudiant"	"V_160_1"	2	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	"Vraiment_pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"Trop"	"Pas_assez"	"Trop"	"Pas_assez"	"JAR"	7	"haut de gamme"	160	1	"Violon"
"27"	3	22	"H"	"Etudiant"	"P_80_5"	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"Trop"	"Vraiment_trop"	"Vraiment_pas_assez"	"Trop"	2	"pas assez complexe"	80	5	"Piano"
"28"	3	22	"H"	"Etudiant"	"V_160_3"	4	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	"Vraiment_trop"	"Vraiment_trop"	"Trop"	"Trop"	"Vraiment_pas_assez"	"Pas_assez"	"Trop"	"Vraiment_pas_assez"	0	"trop populaire"	160	3	"Violon"
"29"	3	22	"H"	"Etudiant"	"P_160_5"	5	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	"Trop"	"Pas_assez"	"Pas_assez"	"Vraiment_trop"	"Pas_assez"	"JAR"	"JAR"	"JAR"	4	"pas un son expert"	160	5	"Piano"
"30"	3	22	"H"	"Etudiant"	"V_80_1"	6	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	"Vraiment_pas_assez"	"Pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"Trop"	"Trop"	"Pas_assez"	"Trop"	6	"pas assez energique pour de l'innovation"	80	1	"Violon"
"31"	3	22	"H"	"Etudiant"	"A_160_1"	7	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	"Vraiment_trop"	"Vraiment_trop"	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Pas_assez"	"JAR"	"Pas_assez"	3	"beaucoup trop populaire et traditionnel, pas assez haut de gamme"	160	1	"Accordéon"
"32"	3	22	"H"	"Etudiant"	"P_160_1"	8	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	"JAR"	"JAR"	"JAR"	"Trop"	"Pas_assez"	"JAR"	"JAR"	"JAR"	8	"assez simple, efficacité, innovation"	160	1	"Piano"
"33"	3	22	"H"	"Etudiant"	"A_120_3"	9	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	"Pas_assez"	"Vraiment_trop"	"Vraiment_pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"Vraiment_pas_assez"	"Pas_assez"	2	"traditionnel, sans originalité"	120	3	"Accordéon"
"34"	3	22	"H"	"Etudiant"	"A_80_5"	10	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	"Trop"	"Trop"	"Trop"	"Vraiment_trop"	"Vraiment_pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	2	"trop bref"	80	5	"Accordéon"
"35"	3	22	"H"	"Etudiant"	"V_80_3"	11	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"Trop"	"Pas_assez"	"Pas_assez"	9	"son posé, manque de complexité en grave"	80	3	"Violon"
"36"	3	22	"H"	"Etudiant"	"V_120_5"	12	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	"Trop"	"Vraiment_trop"	"Vraiment_pas_assez"	"Pas_assez"	"Vraiment_trop"	"Pas_assez"	"JAR"	"Vraiment_pas_assez"	1	"son de vieux portable, perçant, désagréable"	120	5	"Violon"
"37"	4	22	"F"	"Etudiant"	"A_80_1"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Vraiment_trop"	0	"accordéon fait vieux-jeu, oldschool"	80	1	"Accordéon"
"38"	4	22	"F"	"Etudiant"	"V_120_3"	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	"JAR"	"JAR"	"Pas_assez"	"JAR"	"Vraiment_pas_assez"	"JAR"	"JAR"	"Trop"	2	NA	120	3	"Violon"
"39"	4	22	"F"	"Etudiant"	"P_160_5"	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Trop"	6	NA	160	5	"Piano"
"40"	4	22	"F"	"Etudiant"	"V_120_1"	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Trop"	0	NA	120	1	"Violon"
"41"	4	22	"F"	"Etudiant"	"P_120_3"	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"JAR"	"Trop"	"JAR"	"JAR"	4	NA	120	3	"Piano"
