"Juge"	"Age"	"Sexe"	"CSP"	"Son"	"Rang"	"Innovation"	"Originalité"	"Sobriété"	"Proximité"	"Ludique"	"Haut.de.gamme"	"Simplicité"	"Liberté"	"Humanité"	"Technologie"	"Convivialité"	"Complexité"	"Populaire"	"Sérieux"	"International"	"Passion"	"Artisanal"	"Traditionnal"	"Performence"	"Joyeux"	"Surprenant"	"Excitant"	"Energique"	"Sensuel"	"Triste"	"Chaleureux"	"Sérieux1"	"Note"	"Pourquoi"
"1"	1	25	"H"	"Etudiant"	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	3	2	3	3	3	2	3	3	9	"le violon apporte un air chaleureux et énergique"
"2"	1	25	"H"	"Etudiant"	2	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	2	2	3	3	7	"piano pas assez haut de gamme, pas assez energique"
"3"	1	25	"H"	"Etudiant"	3	3	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	4	3	4	2	1	3	2	4	"trop joyeux, trop energique"
"4"	1	25	"H"	"Etudiant"	4	4	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	4	5	1	2	2	2	3	1	2	"pas assez classe"
"5"	1	25	"H"	"Etudiant"	5	5	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	4	3	3	4	4	2	3	3	7	"tempo trop rapide, trop énergique"
"6"	1	25	"H"	"Etudiant"	6	6	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	3	4	2	3	2	1	3	3	5	"trop surprenant"
"7"	1	25	"H"	"Etudiant"	7	7	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	2	4	2	1	2	4	2	3	6	"surprenant par la lenteur du rythme, pas agréable"
"8"	1	25	"H"	"Etudiant"	8	8	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	3	4	3	3	3	2	3	3	8	"effet écho agréable"
"9"	1	25	"H"	"Etudiant"	9	9	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	2	2	1	3	2	3	2	"pas agréable, vraiment trop lent"
"10"	1	25	"H"	"Etudiant"	10	10	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	4	2	4	2	2	4	2	4	"instrument et tempo ne font pas sérieux"
"11"	1	25	"H"	"Etudiant"	11	11	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	3	2	3	3	3	2	3	3	7	"piano agréable"
"12"	1	25	"H"	"Etudiant"	12	12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	4	1	1	2	4	2	3	3	"tempo vraiment trop lent"
"13"	2	23	"F"	"Etudiant"	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	2	3	1	4	2	5	2	"instrument ne fait pas assez technologique"
"14"	2	23	"F"	"Etudiant"	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	3	2	3	2	3	2	4	7	"écho du piano fait innovant"
"15"	2	23	"F"	"Etudiant"	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	1	3	1	4	1	4	1	"strident"
"16"	2	23	"F"	"Etudiant"	4	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	3	3	2	3	3	2	4	5	"tempo trop lent, pas technologique, pas innovant"
"17"	2	23	"F"	"Etudiant"	5	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	2	3	2	3	2	4	3	"un peu trop strident"
"18"	2	23	"F"	"Etudiant"	6	6	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	3	4	2	3	3	3	8	"tempo légèrement trop rapide"
"19"	2	23	"F"	"Etudiant"	7	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	2	2	4	2	3	4	4	4	"tempo un peu trop rapide, instrument inapproprié, trop claironnant"
"20"	2	23	"F"	"Etudiant"	8	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	3	3	4	2	3	2	2	5	"trop aigu, pas assez sérieux"
"21"	2	23	"F"	"Etudiant"	9	9	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	2	2	4	3	3	3	3	6	"tempo légèrement trop rapide, écho un peu pompeux et lourd"
"22"	2	23	"F"	"Etudiant"	10	10	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	4	2	2	2	4	2	2	5	"instrument inapproprié, pas assez classe"
"23"	2	23	"F"	"Etudiant"	11	11	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	2	2	2	2	3	3	3	3	5	"écho trop important, peu classe"
"24"	2	23	"F"	"Etudiant"	12	12	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	2	3	4	2	3	2	3	4	"trop strident, un peu trop rapide"
"25"	3	22	"H"	"Etudiant"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	1	3	3	3	4	2	3	6	"trop traditionnel"
"26"	3	22	"H"	"Etudiant"	2	2	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	2	1	4	2	4	2	3	7	"haut de gamme"
"27"	3	22	"H"	"Etudiant"	3	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	3	2	2	4	5	1	4	2	"pas assez complexe"
"28"	3	22	"H"	"Etudiant"	4	4	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	5	5	4	4	1	2	4	1	0	"trop populaire"
"29"	3	22	"H"	"Etudiant"	5	5	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	4	2	2	5	2	3	3	3	4	"pas un son expert"
"30"	3	22	"H"	"Etudiant"	6	6	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	2	2	1	4	4	2	4	6	"pas assez energique pour de l'innovation"
"31"	3	22	"H"	"Etudiant"	7	7	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	5	5	1	4	1	2	3	2	3	"beaucoup trop populaire et traditionnel, pas assez haut de gamme"
"32"	3	22	"H"	"Etudiant"	8	8	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	3	3	4	2	3	3	3	8	"assez simple, efficacité, innovation"
"33"	3	22	"H"	"Etudiant"	9	9	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	2	5	1	2	1	3	1	2	2	"traditionnel, sans originalité"
"34"	3	22	"H"	"Etudiant"	10	10	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	4	4	4	5	1	2	4	2	2	"trop bref"
"35"	3	22	"H"	"Etudiant"	11	11	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	3	3	3	3	3	4	2	2	9	"son posé, manque de complexité en grave"
"36"	3	22	"H"	"Etudiant"	12	12	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	5	1	2	5	2	3	1	1	"son de vieux portable, perçant, désagréable"
"37"	4	22	"F"	"Etudiant"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	4	1	1	1	4	1	5	0	"accordéon fait vieux-jeu, oldschool"
"38"	4	22	"F"	"Etudiant"	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	2	3	1	3	3	4	2	NA
"39"	4	22	"F"	"Etudiant"	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	3	2	2	3	3	3	4	6	NA
"40"	4	22	"F"	"Etudiant"	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	1	1	1	4	1	4	0	NA
"41"	4	22	"F"	"Etudiant"	5	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	3	2	2	3	4	3	3	4	NA
"42"	4	22	"F"	"Etudiant"	6	6	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	3	3	3	3	2	3	3	2	6	NA
"43"	4	22	"F"	"Etudiant"	7	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	3	3	3	3	3	3	7	NA
"44"	4	22	"F"	"Etudiant"	8	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	2	4	2	3	2	1	3	NA
"45"	4	22	"F"	"Etudiant"	9	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	4	4	3	5	2	2	4	1	2	NA
"46"	4	22	"F"	"Etudiant"	10	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	2	1	1	2	0	NA
"47"	4	22	"F"	"Etudiant"	11	11	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	2	3	2	3	2	3	4	NA
"48"	4	22	"F"	"Etudiant"	12	12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	4	3	3	2	3	3	2	4	NA
"49"	5	23	"F"	"Etudiant"	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	3	3	2	3	3	3	2	2	2	"trop léger, pas assez serieux"
"50"	5	23	"F"	"Etudiant"	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	3	3	3	3	3	3	3	3	9	"dynamique, avec des graves et de la profondeur"
"51"	5	23	"F"	"Etudiant"	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	4	4	2	2	2	2	2	"trop rapide, pas assez serieux, pas assez haut de gamme"
"52"	5	23	"F"	"Etudiant"	4	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	3	2	2	2	3	3	3	4	6	"pas assez dynamique, pas assez innovant"
"53"	5	23	"F"	"Etudiant"	5	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	2	2	2	3	4	2	3	3	"logo triste, peu dynamique"
"54"	5	23	"F"	"Etudiant"	6	6	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	3	3	2	2	1	3	1	3	4	"pas assez dynamique"
"55"	5	23	"F"	"Etudiant"	7	7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	4	4	3	3	3	2	7	"trop rapide, baclé sur la fin"
"56"	5	23	"F"	"Etudiant"	8	8	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	3	2	2	2	3	3	3	2	6	"trop de mollesse, pas très expert"
"57"	5	23	"F"	"Etudiant"	9	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3	3	3	2	4	"trop mou, pas innovant"
"58"	5	23	"F"	"Etudiant"	10	10	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	3	3	3	3	4	3	3	7	"pas assez dynamique"
"59"	5	23	"F"	"Etudiant"	11	11	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	3	4	3	3	2	3	2	2	5	"les notes sont décalées, trop surprenant"
"60"	5	23	"F"	"Etudiant"	12	12	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	3	3	2	2	2	3	2	2	3	"pas assez de profondeur, pas assez de serieux"
"61"	6	56	"F"	"Employé"	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	1	2	1	3	3	3	4	"pas assez innovant"
"62"	6	56	"F"	"Employé"	2	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	3	2	3	2	3	2	3	6	"assez innovant"
"63"	6	56	"F"	"Employé"	3	3	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	3	2	2	2	3	2	4	5	"trop traditionnel"
"64"	6	56	"F"	"Employé"	4	4	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	4	2	1	2	3	2	1	3	"pas assez énergique, pas assez sérieux"
"65"	6	56	"F"	"Employé"	5	5	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	3	1	1	1	2	2	2	2	"pas assez énergique"
"66"	6	56	"F"	"Employé"	6	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	1	1	1	1	1	1	"trop simpliste"
"67"	6	56	"F"	"Employé"	7	7	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	2	2	2	2	3	3	3	4	"restitue le serieux de l'entreprise"
"68"	6	56	"F"	"Employé"	8	8	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	4	3	2	2	2	3	2	2	3	"pas assez serieux"
"69"	6	56	"F"	"Employé"	9	9	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	2	2	2	3	3	3	3	4	"trop grave"
"70"	6	56	"F"	"Employé"	10	10	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	3	3	3	3	5	"serieux, chaleureux, pas assez innovant"
"71"	6	56	"F"	"Employé"	11	11	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	3	4	2	2	2	2	2	2	3	"pas assez serieux, trop léger"
"72"	6	56	"F"	"Employé"	12	12	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	2	3	2	2	1	4	2	4	3	"trop solennel, trop triste"
"73"	7	19	"F"	"Etudiant"	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	2	1	2	4	2	3	3	"trop aigu"
"74"	7	19	"F"	"Etudiant"	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	3	3	4	2	3	2	3	6	"assez sec, assez bref"
"75"	7	19	"F"	"Etudiant"	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	3	2	2	1	3	2	3	2	"manque de proximité"
"76"	7	19	"F"	"Etudiant"	4	4	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	3	2	2	3	3	3	2	3	7	"colle bien avec technologie et innovation"
"77"	7	19	"F"	"Etudiant"	5	5	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	3	2	3	1	3	1	4	4	"sévère,bref"
"78"	7	19	"F"	"Etudiant"	6	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	3	2	2	2	3	2	3	2	"pas assez dynamique"
"79"	7	19	"F"	"Etudiant"	7	7	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	2	3	3	2	3	3	2	3	8	"sérieux, haut de gamme et technologie"
"80"	7	19	"F"	"Etudiant"	8	8	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	3	3	4	3	3	3	2	7	NA
