1	2	3	4	5	6	7	8	9	10	11	12
6	4	26	5	24	23	15	7	17	22	1	16
11	1	18	13	9	25	20	26	22	23	4	16
3	24	16	21	25	15	23	22	2	17	12	9
14	3	25	6	1	21	4	9	20	12	26	27
9	6	21	15	12	17	24	4	13	1	19	8
4	24	11	25	9	16	10	8	15	20	27	5
17	21	2	1	22	11	13	25	19	6	15	14
23	10	15	9	7	22	12	19	25	8	13	4
16	7	19	22	10	14	6	18	21	20	23	26
7	16	8	11	26	1	9	18	24	14	15	21
18	16	12	24	25	7	1	13	11	10	2	26
8	1	3	15	4	18	17	23	10	27	26	2
26	23	21	16	11	2	10	6	24	19	4	3
2	13	22	19	27	10	26	16	9	5	3	1
10	20	6	8	19	12	16	2	3	17	1	11
24	22	18	23	6	25	27	17	11	3	10	13
20	25	24	6	17	26	9	8	23	18	5	19
12	11	20	4	15	3	19	1	27	7	18	22
19	2	14	7	3	4	25	11	27	24	9	17
22	8	9	3	18	6	11	15	5	21	7	10
12	23	13	7	14	26	17	10	4	5	11	9
2	15	17	27	13	23	8	20	7	26	21	11
7	27	4	14	13	8	2	22	6	16	24	20
1	14	5	18	10	19	23	24	12	27	21	8
5	12	2	8	4	22	25	3	26	6	14	18
25	18	15	19	5	13	2	21	14	4	20	10
9	14	23	2	18	11	5	27	16	15	6	12
27	19	7	12	20	5	26	24	15	13	3	6
13	17	3	20	21	18	12	4	7	2	16	5
20	2	27	1	6	9	21	10	5	7	25	23
21	5	1	20	8	24	3	23	14	11	22	13
17	9	13	16	23	27	18	14	19	3	8	7
15	26	10	17	2	20	14	12	18	9	22	24
27	12	8	26	11	21	22	5	17	19	16	25
14	20	1	10	16	3	7	5	8	25	17	15
7	10	21	3	22	1	18	20	26	8	13	27
5	1	13	6	26	10	14	23	25	9	8	19
4	23	26	17	18	19	16	5	21	11	15	3
16	22	15	13	1	9	2	24	17	7	18	23
9	22	12	11	7	19	13	14	20	16	21	15
2	20	11	22	24	8	17	21	5	27	23	9
10	24	6	27	2	11	12	23	16	13	4	7
1	25	24	23	8	27	19	7	12	21	18	9
21	9	14	18	4	16	11	2	3	1	27	12
15	26	20	25	23	5	7	4	22	11	9	6
25	2	19	5	6	21	26	16	24	18	12	20
22	5	10	4	24	20	19	27	18	14	9	16
11	16	20	7	3	27	24	4	13	26	25	14
12	19	18	26	13	3	23	22	27	14	2	5
27	13	8	16	17	24	10	9	5	15	19	26
7	15	5	9	4	21	27	6	10	19	1	3
8	6	16	26	9	23	15	12	2	27	20	1
3	7	1	12	16	25	8	24	11	5	26	22
26	18	7	9	11	14	25	3	15	2	17	10
19	4	25	15	27	8	22	10	23	12	3	11
17	12	10	16	3	6	4	8	9	25	22	18
1	14	4	11	19	22	17	8	26	24	2	6
4	26	23	24	12	15	21	17	1	22	14	10
19	11	27	17	20	22	6	18	1	15	25	13
25	12	9	21	13	2	7	26	4	17	19	20
13	21	1	2	15	16	14	11	8	10	5	25
23	6	9	10	11	26	3	18	13	20	24	21
24	3	21	19	2	4	20	15	6	13	22	8
6	20	17	23	14	7	8	1	19	3	16	18
20	4	2	8	25	18	5	14	15	23	7	24
24	27	15	14	21	12	13	17	25	6	3	5
14	27	22	2	16	23	10	25	7	21	6	17
23	17	3	20	5	25	1	13	16	4	10	2
20	3	2	1	10	17	5	19	12	24	7	11
18	8	7	5	17	13	9	12	14	6	11	4
15	22	9	19	12	3	23	1	8	20	13	21
21	1	9	17	7	16	15	10	22	18	4	12
10	15	5	27	17	4	18	11	2	9	20	3
1	7	3	15	11	26	2	24	23	4	19	17
19	26	6	5	20	10	25	16	17	3	21	23
25	6	22	20	26	5	3	8	9	24	11	12
3	26	13	22	2	20	21	17	15	6	4	27
8	22	17	6	9	4	23	27	7	19	25	11
22	16	26	14	1	6	27	19	3	12	10	9
13	25	7	24	27	9	3	4	2	21	14	16
4	7	13	12	25	14	10	6	15	26	18	20
8	16	22	7	10	26	4	3	14	13	11	5
12	27	23	3	22	11	24	16	5	10	7	15
24	3	19	16	8	12	20	17	18	7	27	13
27	8	24	10	18	21	2	7	20	1	22	6
12	5	4	14	24	1	26	21	9	8	17	11
23	21	15	18	3	6	8	11	16	9	2	14
26	23	25	1	4	8	5	21	27	2	12	7
16	24	8	6	25	2	19	18	5	22	15	4
11	14	2	4	13	27	1	12	6	23	16	20
5	24	18	9	16	7	26	1	13	6	20	23
17	9	12	23	2	13	16	25	26	27	15	24
7	11	20	25	27	14	5	15	21	16	1	19
2	18	8	1	3	10	13	26	12	11	25	19
18	17	27	26	15	13	14	22	1	5	23	8
9	21	19	13	5	17	12	2	10	14	6	7
3	17	10	20	18	24	14	27	25	5	9	1
16	10	17	21	6	1	11	13	24	15	8	25
14	12	4	15	19	23	6	24	21	3	5	18
11	19	21	4	22	25	17	20	16	18	12	26
26	20	14	8	19	15	7	9	11	10	24	2
20	12	16	2	23	22	8	14	4	17	24	10
6	2	11	7	14	18	22	23	17	25	3	1
20	4	1	10	23	19	9	5	25	13	2	22
24	13	23	11	21	18	27	22	19	14	26	10
